reference_model,compared_model,pipeline,num_examples,avg_sbert_similarity
mistral-7b,gemma-9b,vanilla,971,0.777051
mistral-7b,llama-8b,vanilla,971,0.895264
mistral-7b,llama-70b,vanilla,971,0.851383
mistral-7b,yi-9b,vanilla,971,0.776873
mistral-7b,gemma-9b,atomic,971,0.578612
mistral-7b,gemma-27b,atomic,971,0.577633
mistral-7b,llama-8b,atomic,971,0.832306
mistral-7b,llama-70b,atomic,971,0.803267
mistral-7b,yi-9b,atomic,971,0.588864
mistral-7b,gemma-9b,atomic,971,0.578612
mistral-7b,gemma-27b,atomic,971,0.577633
mistral-7b,llama-8b,atomic,971,0.832306
mistral-7b,llama-70b,atomic,971,0.803267
mistral-7b,yi-9b,atomic,971,0.588864
mistral-7b,llama-8b,semantic,971,0.889436
mistral-7b,llama-70b,semantic,971,0.878475
mistral-7b,yi-9b,semantic,971,0.820377
